ts_event,best_level_ofi
2024-10-21 11:55:00+00:00,-394.0
2024-10-21 11:56:00+00:00,-814.0
2024-10-21 11:57:00+00:00,300.0
2024-10-21 11:58:00+00:00,779.0
2024-10-21 11:59:00+00:00,284.0
2024-10-21 12:00:00+00:00,350.0
2024-10-21 12:01:00+00:00,629.0
2024-10-21 12:02:00+00:00,-398.0
2024-10-21 12:03:00+00:00,-501.0
2024-10-21 12:04:00+00:00,-449.0
2024-10-21 12:05:00+00:00,147.0
2024-10-21 12:06:00+00:00,1142.0
2024-10-21 12:07:00+00:00,659.0
2024-10-21 12:08:00+00:00,835.0
2024-10-21 12:09:00+00:00,1101.0
2024-10-21 12:10:00+00:00,211.0
2024-10-21 12:11:00+00:00,0.0
2024-10-21 12:12:00+00:00,-1.0
2024-10-21 12:13:00+00:00,160.0
2024-10-21 12:14:00+00:00,1979.0
2024-10-21 12:15:00+00:00,-22.0
2024-10-21 12:16:00+00:00,981.0
2024-10-21 12:17:00+00:00,-548.0
2024-10-21 12:18:00+00:00,-660.0
2024-10-21 12:19:00+00:00,-1100.0
2024-10-21 12:20:00+00:00,-50.0
2024-10-21 12:21:00+00:00,5.0
2024-10-21 12:22:00+00:00,0.0
2024-10-21 12:23:00+00:00,-602.0
2024-10-21 12:24:00+00:00,-577.0
2024-10-21 12:25:00+00:00,-74.0
2024-10-21 12:26:00+00:00,180.0
2024-10-21 12:27:00+00:00,239.0
2024-10-21 12:28:00+00:00,510.0
2024-10-21 12:29:00+00:00,-593.0
2024-10-21 12:30:00+00:00,-1508.0
2024-10-21 12:31:00+00:00,-206.0
2024-10-21 12:32:00+00:00,-1246.0
2024-10-21 12:33:00+00:00,-471.0
2024-10-21 12:34:00+00:00,-12.0
2024-10-21 12:35:00+00:00,424.0
2024-10-21 12:36:00+00:00,927.0
2024-10-21 12:37:00+00:00,-287.0
2024-10-21 12:38:00+00:00,-351.0
2024-10-21 12:39:00+00:00,37.0
2024-10-21 12:40:00+00:00,26.0
2024-10-21 12:41:00+00:00,533.0
2024-10-21 12:42:00+00:00,-343.0
2024-10-21 12:43:00+00:00,487.0
2024-10-21 12:44:00+00:00,57.0
2024-10-21 12:45:00+00:00,93.0
2024-10-21 12:46:00+00:00,-387.0
2024-10-21 12:47:00+00:00,178.0
2024-10-21 12:48:00+00:00,75.0
2024-10-21 12:49:00+00:00,-18.0
2024-10-21 12:50:00+00:00,-39.0
2024-10-21 12:51:00+00:00,400.0
2024-10-21 12:52:00+00:00,-335.0
2024-10-21 12:53:00+00:00,-70.0
2024-10-21 12:54:00+00:00,-1180.0
2024-10-21 12:55:00+00:00,-155.0
2024-10-21 12:56:00+00:00,-1901.0
2024-10-21 12:57:00+00:00,217.0
2024-10-21 12:58:00+00:00,25.0
2024-10-21 12:59:00+00:00,16.0
2024-10-21 13:00:00+00:00,0.0
2024-10-21 13:01:00+00:00,-1003.0
2024-10-21 13:02:00+00:00,-1122.0
2024-10-21 13:03:00+00:00,-4502.0
2024-10-21 13:04:00+00:00,-60.0
2024-10-21 13:05:00+00:00,-196.0
